"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
5.5875,0.81,10.50,5.13
5.6000,0.98,10.44,5.10
5.6125,1.09,10.47,5.04
5.6250,1.15,10.72,5.01
5.6375,1.15,10.92,4.99
5.6500,1.32,11.12,4.96
5.6625,1.60,11.28,4.93
5.6750,1.79,11.65,4.93
5.6875,1.91,12.12,4.93
5.7000,1.82,12.07,4.90
5.7125,1.68,11.90,4.79
5.7250,1.79,11.87,4.62
5.7375,1.88,12.23,4.48
5.7500,1.82,12.74,4.23
5.7625,1.35,13.05,4.03
5.7750,0.95,13.38,3.75
5.7875,0.67,13.61,3.61
5.8000,0.31,13.24,3.39
5.8125,0.06,13.13,3.05
5.8250,0.17,13.16,2.89
5.8375,0.00,13.69,2.72
5.8500,-0.53,14.00,2.58
5.8625,-1.45,13.80,2.49
5.8750,-2.01,13.89,2.47
5.8875,-2.66,14.31,2.33
5.9000,-3.72,14.28,2.63
5.9125,-4.45,13.89,2.89
5.9250,-4.92,13.61,2.94
5.9375,-5.29,13.86,3.11
5.9500,-6.01,14.39,3.17
5.9625,-6.57,14.28,3.36
5.9750,-6.83,13.35,3.33
5.9875,-6.91,12.18,3.31
6.0000,-7.02,11.95,3.19
6.0125,-7.39,12.32,3.22
6.0250,-7.92,12.43,3.22
6.0375,-8.25,12.15,3.56
6.0500,-8.25,11.73,3.70
6.0625,-8.17,11.42,3.73
6.0750,-8.25,11.09,3.84
6.0875,-8.06,11.09,3.84
6.1000,-7.89,10.75,3.70
6.1125,-7.64,10.39,3.61
6.1250,-7.36,10.16,3.75
6.1375,-6.94,9.97,3.67
6.1500,-6.57,10.08,3.67
6.1625,-6.38,10.30,3.70
6.1750,-5.88,10.53,3.73
6.1875,-5.15,10.84,3.89
6.2000,-4.70,11.12,4.12
6.2125,-4.56,10.44,4.12
6.2250,-4.42,9.30,3.87
6.2375,-4.22,8.09,3.81
6.2500,-4.28,7.62,4.17
6.2625,-4.50,8.34,4.85
6.2750,-4.67,7.78,5.29
6.2875,-3.78,8.09,5.55
6.3000,-4.00,8.20,5.55
6.3125,-5.46,5.63,5.46
6.3250,-6.57,2.89,6.52
6.3375,-3.94,2.33,7.42
6.3500,-1.54,4.57,6.80
6.3625,-1.48,6.69,6.16
6.3750,-4.14,7.39,6.24
6.3875,-5.26,6.58,6.27
6.4000,-4.92,2.47,5.55
6.4125,-3.44,2.69,5.21
6.4250,-4.53,4.03,5.13
6.4375,-4.48,4.01,5.15
6.4500,-4.45,3.53,5.21
6.4625,-5.01,2.80,4.96
6.4750,-5.43,1.37,4.73
